cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1;Ativo Total;1899340511.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.01;Caixa e Equivalentes de Caixa;54494681.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.01.01;Caixa;18023001.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.01.02;Aplicações de Liquidez;36471680.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02;Ativos Financeiros;1700800619.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.01;Depósito Compulsório Banco Central;75504036.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;11739070.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.02.01;Títulos e Valores Mobiliários;9604035.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.02.02;Derivativos;2135035.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.03;Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes;305490911.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.03.01;Títulos e Valores Mobiliários;305490911.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1308066602.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;11800313.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.04.02;Aplicações no Mercado Aberto;482043522.0;S;Financeiro;Estatal
00.000.000/0001-91;2021-12-31;BCO BRASIL S.A.;1023;MIL;2021-12-31;1.02.04.03;Títulos e Valores Mobiliários;33107809.0;S;Financeiro;Estatal
