cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1;Ativo Total;1278136948.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.01;Caixa e Equivalentes de Caixa;62078581.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.01.01;Caixa e Depósitos Bancários;13337180.0;N;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.01.02;Depósitos Interfinanceiros;35592524.0;N;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.01.03;Aplicações em Operações Compromissadas;13148877.0;N;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.01.04;Aplicações em Moeda Estrangeira;0.0;N;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02;Aplicações Financeiras;106605119.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02.01;Aplicações Financeiras Avaliadas a Valor Justo;106245244.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02.01.01;Títulos para Negociação;12441262.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02.01.02;Títulos Disponíveis para Venda;93803982.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;359875.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.02.02.01;Títulos Mantidos até o Vencimento;359875.0;S;Financeiro;Estatal
00.000.000/0001-91;2014-12-31;BCO BRASIL S.A.;1023;MIL;2014-12-31;1.03;Empréstimos e Recebíveis;967249541.0;S;Financeiro;Estatal
