cnpj;data_referencia;empresa;codigo_cvm;escala;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2;Passivo Total;1452266807.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.01;Passivos Financeiros ao Valor Justo através do Resultado;961636.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.02;Outros Passivos Financeiros Designados ao Valor Justo através do Resultado;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.03;Passivos Financeiros ao Custo Amortizado;1220561201.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.03.01;Depósitos de Clientes;485002305.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.03.02;Valores a Pagar a Instituições Financeiras;29459001.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.03.03;Obrigações por Operações Compromissadas;404355327.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.03.04;Obrigações por emissão de títulos e valores mobiliários e outras obrigações;301744568.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.04;Provisões;12930747.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.05;Passivos Fiscais;5931522.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.05.01;Passivos por Impostos Correntes;2720369.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.05.02;Passivos por Impostos Diferidos;3211153.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.06;Outros Passivos;101910322.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.06.01;Compromissos de empréstimos;912349.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.06.02;Outros;100997973.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.07;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.07.01;Passivos sobre Ativos Não Correntes a Venda;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.08;Patrimônio Líquido Consolidado;109971379.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-12-31;2.08.01;Capital Social Realizado;75100000.0;S;Financeiro;Estatal
