cnpj;data_referencia;empresa;codigo_cvm;escala;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa;setor;tipo
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.01;Receitas da Intermediação Financeira;123105325.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.01.01;Receita de Juros;123105325.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.02;Despesas da Intermediação Financeira;-89253866.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.02.01;Despesas de Juros;-69306296.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.02.02;Despesa com Perdas em Empréstimos a Clientes;-16959338.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.02.03;Despesa com Perdas em Empréstimos a instituições financeiras;-1274326.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.02.04;Despesa com Perdas em títulos e valores mobiliários;-1713906.0;N;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.03;Resultado Bruto Intermediação Financeira;33851459.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.04;Outras Despesas/Receitas Operacionais;-22711947.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.04.01;Receitas de Prestação de Serviços;0.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.04.02;Despesas de Pessoal;-22797977.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.04.03;Outras Despesas Administrativas;-7523051.0;S;Financeiro;Estatal
00.000.000/0001-91;2019-12-31;BCO BRASIL S.A.;1023;MIL;2019-01-01;2019-12-31;3.04.04;Despesas Tributárias;0.0;S;Financeiro;Estatal
