cnpj;data_referencia;empresa;codigo_cvm;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa
01.083.200/0001-18;2014-12-31;NEOENERGIA S.A.;015539;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-780814.0;S
03.220.438/0001-73;2014-12-31;EQUATORIAL ENERGIA S.A.;020010;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-294271.0;S
00.001.180/0001-26;2014-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1777296.0;S
33.000.167/0001-01;2014-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-30677000.0;S
08.364.948/0001-38;2014-12-31;ALUPAR INVESTIMENTO S/A;021490;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-38549.0;S
10.629.105/0001-68;2014-12-31;PRIO S.A.;022187;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-176338.0;S
11.669.021/0001-10;2014-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-117613.0;S
17.155.730/0001-64;2014-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-800918.0;S
02.474.103/0001-19;2014-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-592125.0;S
02.429.144/0001-93;2014-12-31;CPFL ENERGIA S.A.;018660;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-875696.0;S
76.483.817/0001-20;2014-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-629943.0;S
00.864.214/0001-06;2014-12-31;ENERGISA S.A.;015253;2014-01-01;2014-12-31;7.04.01;Depreciação, Amortização e Exaustão;-591357.0;S
01.083.200/0001-18;2015-12-31;NEOENERGIA S.A.;015539;2015-01-01;2015-12-31;7.04.01;Depreciação, Amortização e Exaustão;-790947.0;S
03.220.438/0001-73;2015-12-31;EQUATORIAL ENERGIA S.A.;020010;2015-01-01;2015-12-31;7.04.01;Depreciação, Amortização e Exaustão;-313676.0;S
