empresa;setor;tipo;ano;roe;ipca_anual;selic_anual;selic_real;selic_real_dec;bate_selic_real;spread_selic
BCO BRASIL S.A.;Financeiro;Estatal;2014;0.1387;6.41;10.91;4.23;0.042300000000000004;True;0.0964
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2014;0.1431;6.41;10.91;4.23;0.042300000000000004;True;0.1008
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2014;0.1329;6.41;10.91;4.23;0.042300000000000004;True;0.0906
BCO BRASIL S.A.;Financeiro;Estatal;2015;0.1632;10.67;13.29;2.36;0.0236;True;0.1396
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2015;0.0893;10.67;13.29;2.36;0.0236;True;0.0657
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2015;0.1327;10.67;13.29;2.36;0.0236;True;0.1091
BCO BRASIL S.A.;Financeiro;Estatal;2016;0.078;6.29;14.03;7.28;0.0728;True;0.0052
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2016;0.0995;6.29;14.03;7.28;0.0728;True;0.0267
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2016;0.1152;6.29;14.03;7.28;0.0728;True;0.0424
BCO BRASIL S.A.;Financeiro;Estatal;2017;0.105;2.95;9.96;6.81;0.0681;True;0.0369
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2017;0.1365;2.95;9.96;6.81;0.0681;True;0.0684
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2017;0.1206;2.95;9.96;6.81;0.0681;True;0.0525
BCO BRASIL S.A.;Financeiro;Estatal;2018;0.1323;3.75;6.42;2.58;0.0258;True;0.1065
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2018;0.1921;3.75;6.42;2.58;0.0258;True;0.1663
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2018;0.1044;3.75;6.42;2.58;0.0258;True;0.0786
BCO BRASIL S.A.;Financeiro;Estatal;2019;0.1491;4.31;5.95;1.57;0.015700000000000002;True;0.1334
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2019;0.2012;4.31;5.95;1.57;0.015700000000000002;True;0.1855
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2019;0.1354;4.31;5.95;1.57;0.015700000000000002;True;0.1197
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2020;0.1826;4.52;2.75;-1.69;-0.0169;True;0.1995
BCO BRASIL S.A.;Financeiro;Estatal;2020;0.0927;4.52;2.75;-1.69;-0.0169;True;0.1096
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2020;0.1315;4.52;2.75;-1.69;-0.0169;True;0.1484
BCO BRASIL S.A.;Financeiro;Estatal;2021;0.1256;10.06;4.44;-5.11;-0.051100000000000007;True;0.1767
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2021;0.2216;10.06;4.44;-5.11;-0.051100000000000007;True;0.2727
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2021;0.1257;10.06;4.44;-5.11;-0.051100000000000007;True;0.1768
BCO BRASIL S.A.;Financeiro;Estatal;2022;0.1694;5.78;12.38;6.24;0.062400000000000004;True;0.107
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2022;0.0156;5.78;12.38;6.24;0.062400000000000004;False;-0.0468
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2022;0.1736;5.78;12.38;6.24;0.062400000000000004;True;0.1112
BCO BRASIL S.A.;Financeiro;Estatal;2023;0.172;4.62;13.03;8.04;0.08039999999999999;True;0.0916
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2023;0.0;4.62;13.03;8.04;0.08039999999999999;False;-0.0804
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2023;0.1527;4.62;13.03;8.04;0.08039999999999999;True;0.0723
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2014;-0.0533;6.41;10.91;4.23;0.042300000000000004;False;-0.0956
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2014;0.2779;6.41;10.91;4.23;0.042300000000000004;True;0.2356
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2014;0.0881;6.41;10.91;4.23;0.042300000000000004;True;0.0458
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2015;-0.346;10.67;13.29;2.36;0.0236;False;-0.3696
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2015;0.1901;10.67;13.29;2.36;0.0236;True;0.1665
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2015;0.0818;10.67;13.29;2.36;0.0236;True;0.0582
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2016;0.0777;6.29;14.03;7.28;0.0728;True;0.0049
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2016;0.0258;6.29;14.03;7.28;0.0728;False;-0.047
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2016;0.0633;6.29;14.03;7.28;0.0728;False;-0.0095
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2017;-0.0413;2.95;9.96;6.81;0.0681;False;-0.1094
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2017;0.0698;2.95;9.96;6.81;0.0681;True;0.0017
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2017;0.0666;2.95;9.96;6.81;0.0681;False;-0.0015
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2018;0.2368;3.75;6.42;2.58;0.0258;True;0.211
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2018;0.1067;3.75;6.42;2.58;0.0258;True;0.0809
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2018;0.0861;3.75;6.42;2.58;0.0258;True;0.0603
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2019;0.1498;4.31;5.95;1.57;0.015700000000000002;True;0.1341
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2019;0.1968;4.31;5.95;1.57;0.015700000000000002;True;0.1811
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2019;0.1131;4.31;5.95;1.57;0.015700000000000002;True;0.0974
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2020;0.0859;4.52;2.75;-1.69;-0.0169;True;0.1028
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2020;0.1639;4.52;2.75;-1.69;-0.0169;True;0.1808
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2020;0.1928;4.52;2.75;-1.69;-0.0169;True;0.2097
CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energia;Estatal;2021;0.0739;10.06;4.44;-5.11;-0.051100000000000007;True;0.125
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2021;0.1928;10.06;4.44;-5.11;-0.051100000000000007;True;0.2439
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2021;0.2233;10.06;4.44;-5.11;-0.051100000000000007;True;0.2744
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2022;0.1879;5.78;12.38;6.24;0.062400000000000004;True;0.1255
CIA PARANAENSE DE ENERGIA - COPEL;Energia;Estatal;2022;0.0526;5.78;12.38;6.24;0.062400000000000004;False;-0.0098
CIA ENERGETICA DE MINAS GERAIS - CEMIG;Energia;Estatal;2023;0.2338;4.62;13.03;8.04;0.08039999999999999;True;0.1534
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2014;-0.0695;6.41;10.91;4.23;0.042300000000000004;False;-0.1118
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2015;-0.1351;10.67;13.29;2.36;0.0236;False;-0.1587
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2016;-0.0587;6.29;14.03;7.28;0.0728;False;-0.1315
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2017;-0.0017;2.95;9.96;6.81;0.0681;False;-0.0698
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2018;0.0909;3.75;6.42;2.58;0.0258;True;0.0651
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2019;0.1342;4.31;5.95;1.57;0.015700000000000002;True;0.1185
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2020;0.0228;4.52;2.75;-1.69;-0.0169;True;0.0397
