empresa;setor;tipo;ano;roe;ipca_anual;selic_anual;selic_real;selic_real_dec;bate_selic_real;spread_selic
BCO BRASIL S.A.;Financeiro;Estatal;2014;0.1387;6.41;10.91;4.23;0.042300000000000004;True;0.0964
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2014;0.1431;6.41;10.91;4.23;0.042300000000000004;True;0.1008
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2014;0.1329;6.41;10.91;4.23;0.042300000000000004;True;0.0906
BCO ABC BRASIL S.A.;Financeiro;Privado;2014;0.1437;6.41;10.91;4.23;0.042300000000000004;True;0.1014
BCO BTG PACTUAL S.A.;Financeiro;Privado;2014;0.1366;6.41;10.91;4.23;0.042300000000000004;True;0.0943
BCO PAN S.A.;Financeiro;Privado;2014;0.0226;6.41;10.91;4.23;0.042300000000000004;False;-0.0197
BCO BRADESCO S.A.;Financeiro;Privado;2014;0.1861;6.41;10.91;4.23;0.042300000000000004;True;0.1438
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2014;0.2142;6.41;10.91;4.23;0.042300000000000004;True;0.1719
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2014;0.0716;6.41;10.91;4.23;0.042300000000000004;True;0.0293
BCO BRASIL S.A.;Financeiro;Estatal;2015;0.1632;10.67;13.29;2.36;0.0236;True;0.1396
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2015;0.0893;10.67;13.29;2.36;0.0236;True;0.0657
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2015;0.1327;10.67;13.29;2.36;0.0236;True;0.1091
BCO ABC BRASIL S.A.;Financeiro;Privado;2015;0.1475;10.67;13.29;2.36;0.0236;True;0.1239
BCO BTG PACTUAL S.A.;Financeiro;Privado;2015;0.0364;10.67;13.29;2.36;0.0236;True;0.0128
BCO PAN S.A.;Financeiro;Privado;2015;0.038;10.67;13.29;2.36;0.0236;True;0.0144
BCO BRADESCO S.A.;Financeiro;Privado;2015;0.1994;10.67;13.29;2.36;0.0236;True;0.1758
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2015;0.2257;10.67;13.29;2.36;0.0236;True;0.2021
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2015;0.1225;10.67;13.29;2.36;0.0236;True;0.0989
BCO BRASIL S.A.;Financeiro;Estatal;2016;0.078;6.29;14.03;7.28;0.0728;True;0.0052
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2016;0.0995;6.29;14.03;7.28;0.0728;True;0.0267
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2016;0.1152;6.29;14.03;7.28;0.0728;True;0.0424
BCO ABC BRASIL S.A.;Financeiro;Privado;2016;0.1308;6.29;14.03;7.28;0.0728;True;0.058
BCO BTG PACTUAL S.A.;Financeiro;Privado;2016;0.2759;6.29;14.03;7.28;0.0728;True;0.2031
BCO PAN S.A.;Financeiro;Privado;2016;-0.0397;6.29;14.03;7.28;0.0728;False;-0.1125
BCO BRADESCO S.A.;Financeiro;Privado;2016;0.1696;6.29;14.03;7.28;0.0728;True;0.0968
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2016;0.1726;6.29;14.03;7.28;0.0728;True;0.0998
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2016;0.0865;6.29;14.03;7.28;0.0728;True;0.0137
BCO BRASIL S.A.;Financeiro;Estatal;2017;0.105;2.95;9.96;6.81;0.0681;True;0.0369
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2017;0.1365;2.95;9.96;6.81;0.0681;True;0.0684
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2017;0.1206;2.95;9.96;6.81;0.0681;True;0.0525
BCO ABC BRASIL S.A.;Financeiro;Privado;2017;0.1257;2.95;9.96;6.81;0.0681;True;0.0576
BCO BTG PACTUAL S.A.;Financeiro;Privado;2017;0.1258;2.95;9.96;6.81;0.0681;True;0.0577
BCO PAN S.A.;Financeiro;Privado;2017;0.0631;2.95;9.96;6.81;0.0681;False;-0.005
BCO BRADESCO S.A.;Financeiro;Privado;2017;0.1452;2.95;9.96;6.81;0.0681;True;0.0771
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2017;0.1615;2.95;9.96;6.81;0.0681;True;0.0934
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2017;0.1025;2.95;9.96;6.81;0.0681;True;0.0344
BCO BRASIL S.A.;Financeiro;Estatal;2018;0.1323;3.75;6.42;2.58;0.0258;True;0.1065
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2018;0.1921;3.75;6.42;2.58;0.0258;True;0.1663
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2018;0.1044;3.75;6.42;2.58;0.0258;True;0.0786
BCO ABC BRASIL S.A.;Financeiro;Privado;2018;0.1114;3.75;6.42;2.58;0.0258;True;0.0856
BCO BTG PACTUAL S.A.;Financeiro;Privado;2018;0.1274;3.75;6.42;2.58;0.0258;True;0.1016
BCO PAN S.A.;Financeiro;Privado;2018;0.0467;3.75;6.42;2.58;0.0258;True;0.0209
BCO BRADESCO S.A.;Financeiro;Privado;2018;0.133;3.75;6.42;2.58;0.0258;True;0.1072
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2018;0.1655;3.75;6.42;2.58;0.0258;True;0.1397
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2018;0.1374;3.75;6.42;2.58;0.0258;True;0.1116
BCO BRASIL S.A.;Financeiro;Estatal;2019;0.1491;4.31;5.95;1.57;0.015700000000000002;True;0.1334
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2019;0.2012;4.31;5.95;1.57;0.015700000000000002;True;0.1855
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2019;0.1354;4.31;5.95;1.57;0.015700000000000002;True;0.1197
BCO ABC BRASIL S.A.;Financeiro;Privado;2019;0.1223;4.31;5.95;1.57;0.015700000000000002;True;0.1066
BCO BTG PACTUAL S.A.;Financeiro;Privado;2019;0.1833;4.31;5.95;1.57;0.015700000000000002;True;0.1676
BCO PAN S.A.;Financeiro;Privado;2019;0.1201;4.31;5.95;1.57;0.015700000000000002;True;0.1044
BCO BRADESCO S.A.;Financeiro;Privado;2019;0.1551;4.31;5.95;1.57;0.015700000000000002;True;0.1394
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2019;0.1814;4.31;5.95;1.57;0.015700000000000002;True;0.1657
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2019;0.1688;4.31;5.95;1.57;0.015700000000000002;True;0.1531
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2020;0.1826;4.52;2.75;-1.69;-0.0169;True;0.1995
BCO ABC BRASIL S.A.;Financeiro;Privado;2020;0.0787;4.52;2.75;-1.69;-0.0169;True;0.0956
BCO BTG PACTUAL S.A.;Financeiro;Privado;2020;0.1494;4.52;2.75;-1.69;-0.0169;True;0.1663
BCO PAN S.A.;Financeiro;Privado;2020;0.1132;4.52;2.75;-1.69;-0.0169;True;0.1301
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2020;0.1223;4.52;2.75;-1.69;-0.0169;True;0.1392
BCO SANTANDER (BRASIL) S.A.;Financeiro;Privado;2020;0.1265;4.52;2.75;-1.69;-0.0169;True;0.1434
BCO BRASIL S.A.;Financeiro;Estatal;2020;0.0927;4.52;2.75;-1.69;-0.0169;True;0.1096
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2020;0.1315;4.52;2.75;-1.69;-0.0169;True;0.1484
BCO BRADESCO S.A.;Financeiro;Privado;2020;0.1084;4.52;2.75;-1.69;-0.0169;True;0.1253
BCO BTG PACTUAL S.A.;Financeiro;Privado;2021;0.1606;10.06;4.44;-5.11;-0.051100000000000007;True;0.2117
BCO PAN S.A.;Financeiro;Privado;2021;0.0;10.06;4.44;-5.11;-0.051100000000000007;True;0.0511
ITAU UNIBANCO HOLDING S.A.;Financeiro;Privado;2021;0.1627;10.06;4.44;-5.11;-0.051100000000000007;True;0.2138
BCO BRASIL S.A.;Financeiro;Estatal;2021;0.1256;10.06;4.44;-5.11;-0.051100000000000007;True;0.1767
BRB BANCO DE BRASILIA S.A.;Financeiro;Estatal;2021;0.2216;10.06;4.44;-5.11;-0.051100000000000007;True;0.2727
BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Estatal;2021;0.1257;10.06;4.44;-5.11;-0.051100000000000007;True;0.1768
BCO ABC BRASIL S.A.;Financeiro;Privado;2021;0.1196;10.06;4.44;-5.11;-0.051100000000000007;True;0.1707
BCO BRADESCO S.A.;Financeiro;Privado;2021;0.1542;10.06;4.44;-5.11;-0.051100000000000007;True;0.2053
