empresa;setor;tipo;ano;roe;margem_liquida;margem_bruta;margem_ebitda;alavancagem;cobertura_juros;evento_exogeno;descricao_evento
PRIO S.A.;Petroleo;Privado;2014;-1.6134;-2.0604;0.0385;;;-16.2853;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2014;0.0657;0.33;0.5322;0.4301;0.6178;2.9223;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2014;-0.0695;-0.064;0.2385;0.026;35.0184;-2.368;1;Operação Lava Jato - Impairment e queda do petróleo
PRIO S.A.;Petroleo;Privado;2015;0.1208;0.4363;-0.1635;0.5929;-1.6783;0.27;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2015;0.0348;0.1887;0.4904;;;-31.0884;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2015;-0.1351;-0.1083;0.3065;0.0789;15.5599;-0.4008;1;Operação Lava Jato - Impairment e queda do petróleo
PRIO S.A.;Petroleo;Privado;2016;0.2897;0.6073;-0.0266;0.826;0.0223;0.8098;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2016;0.055;0.3209;0.4947;0.3966;1.8099;8.5644;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2016;-0.0587;-0.0525;0.3184;0.2301;4.8701;0.5347;0;
PRIO S.A.;Petroleo;Privado;2017;0.0356;0.0574;0.1852;0.2466;0.4422;0.2275;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2017;0.1149;0.7123;0.5461;0.8132;0.7509;16.63;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2017;-0.0017;-0.0016;0.3229;0.2829;3.5761;1.0812;0;
PRIO S.A.;Petroleo;Privado;2018;0.2035;0.2413;0.3771;0.2911;0.5083;0.7024;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2018;0.1329;0.5334;0.4248;0.7034;0.4098;9.7986;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2018;0.0909;0.0737;0.356;0.3102;2.5158;1.9811;0;
PRIO S.A.;Petroleo;Privado;2019;0.3891;0.5123;0.4281;0.8436;1.2966;1.2294;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2019;0.0744;0.1938;0.319;0.5788;0.3119;2.0742;0;
BRAVA ENERGIA S.A.;Petroleo;Privado;2019;-0.135;-0.9866;0.5052;;;-0.7886;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2019;0.1342;0.1328;0.404;0.4795;2.2181;2.0564;0;
PETRORECÔNCAVO S.A.;Petroleo;Privado;2020;-0.0834;-0.1038;0.3519;0.6022;1.8195;0.6545;0;
PRIO S.A.;Petroleo;Privado;2020;0.1437;0.2378;0.3242;0.926;0.9791;0.489;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2020;0.045;0.1311;0.3232;0.8334;0.8615;1.2473;0;
BRAVA ENERGIA S.A.;Petroleo;Privado;2020;-0.2407;-1.2692;0.4799;;;-0.8434;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2020;0.0228;0.0261;0.4556;0.4152;2.9361;0.9469;0;
PETRORECÔNCAVO S.A.;Petroleo;Privado;2021;0.0945;0.17;0.3582;0.5139;0.98;1.7956;0;
PRIO S.A.;Petroleo;Privado;2021;0.2014;0.3032;0.5716;0.6807;0.9793;1.3522;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2021;0.3468;0.8003;0.3395;1.6192;-0.0114;18.4486;0;
BRAVA ENERGIA S.A.;Petroleo;Privado;2021;-0.0002;-0.0012;0.561;0.7315;-0.1324;0.632;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2021;0.2738;0.2356;0.4852;0.6199;0.9601;3.309;0;
PETRORECÔNCAVO S.A.;Petroleo;Privado;2022;0.3027;0.3876;0.4844;0.5408;0.183;11.0085;0;
PRIO S.A.;Petroleo;Privado;2022;0.3464;0.5386;0.669;0.7497;-0.0818;7.0171;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2022;0.0933;0.1762;0.4932;0.4873;1.2732;5.4519;0;
BRAVA ENERGIA S.A.;Petroleo;Privado;2022;0.0345;0.0868;0.5149;0.3195;0.4572;0.3367;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2022;0.5168;0.2937;0.521;0.576;0.647;10.261;0;
PETRORECÔNCAVO S.A.;Petroleo;Privado;2023;0.1569;0.2519;0.319;0.4542;0.5522;4.9248;0;
PRIO S.A.;Petroleo;Privado;2023;0.3732;0.4351;0.6433;0.7737;0.7838;2.7774;0;
ENAUTA PARTICIPAÇÕES S.A.;Petroleo;Privado;2023;0.0;0.0;0.2036;0.4902;2.6493;0.0654;0;
BRAVA ENERGIA S.A.;Petroleo;Privado;2023;0.0728;0.0721;0.3128;0.3356;3.981;0.9553;0;
PETROLEO BRASILEIRO S.A. PETROBRAS;Petroleo;Estatal;2023;0.3259;0.2434;0.5272;0.5183;0.9099;8.3477;0;
