setor;empresa;ano;score;classificacao;n_kpis
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2014;-0.0354;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2015;-0.1066;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2016;-0.0905;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2017;-0.0116;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2018;-0.0445;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2019;0.188;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2020;0.3725;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2021;0.3396;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2022;0.3873;Na média;6
Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;2023;0.2857;Na média;6
Financeiro;BCO BRASIL S.A.;2014;0.2503;Na média;6
Financeiro;BCO BRASIL S.A.;2015;0.2535;Na média;6
Financeiro;BCO BRASIL S.A.;2016;0.4119;Na média;6
Financeiro;BCO BRASIL S.A.;2017;0.2967;Na média;6
Financeiro;BCO BRASIL S.A.;2018;0.3056;Na média;6
Financeiro;BCO BRASIL S.A.;2019;0.3121;Na média;6
Financeiro;BCO BRASIL S.A.;2020;-0.0463;Na média;6
Financeiro;BCO BRASIL S.A.;2021;0.2859;Na média;6
Financeiro;BCO BRASIL S.A.;2022;0.2718;Na média;6
Financeiro;BCO BRASIL S.A.;2023;0.208;Na média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2014;0.1243;Na média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2015;-0.0447;Na média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2016;0.5516;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2017;0.4592;Na média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2018;0.5501;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2019;0.947;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2020;0.6388;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2021;0.9587;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2022;0.5226;Acima da média;6
Financeiro;BRB BANCO DE BRASILIA S.A.;2023;-0.0056;Na média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2014;-1.4555;Abaixo da média;5
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2015;-1.8617;Abaixo da média;5
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2016;-0.0314;Na média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017;-0.3723;Na média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018;1.2029;Acima da média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019;0.9876;Acima da média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020;0.3086;Na média;6
Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021;-0.2109;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2014;0.423;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2015;0.0892;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2016;-0.3416;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2017;-0.4051;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2018;-0.3498;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2019;-0.239;Na média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2020;-0.6847;Abaixo da média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2021;-0.7583;Abaixo da média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2022;-0.5234;Abaixo da média;6
Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;2023;0.0666;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2014;-0.3525;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2015;-0.326;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2016;-0.3353;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2017;-0.384;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2018;-0.3836;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2019;-0.3869;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2020;-0.0445;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2021;0.0165;Na média;6
Energia;CIA PARANAENSE DE ENERGIA - COPEL;2022;-0.9599;Abaixo da média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2014;0.3126;Na média;4
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2015;-1.1043;Abaixo da média;4
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2016;-0.4545;Na média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2017;-0.1041;Na média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2018;-0.4249;Na média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2019;0.3097;Na média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2020;0.5491;Acima da média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2021;0.1291;Na média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2022;0.5751;Acima da média;6
Petroleo;PETROLEO BRASILEIRO S.A. PETROBRAS;2023;0.7363;Acima da média;6
