setor;kpi;mediana_estatal;mediana_privado;diff_mediana;p_valor;significativo;teste;n_pares;mediana_diff
Financeiro;roe;0.1328;0.13;0.0028;0.5926;Não ❌;Mann-Whitney;;
Financeiro;margem_liquida;0.0837;0.1454;-0.0617;0.0007;Sim ✅;Mann-Whitney;;
Financeiro;nim;0.036;0.048;-0.012;0.2714;Não ❌;Mann-Whitney;;
Financeiro;indice_eficiencia;0.634;0.477;0.1571;0.0019;Sim ✅;Mann-Whitney;;
Financeiro;alavancagem;12.793;7.8641;4.9289;0.0;Sim ✅;Mann-Whitney;;
Financeiro;pdd_ratio;0.0;0.1064;-0.1064;0.006;Sim ✅;Mann-Whitney;;
Energia;roe;0.0881;0.1306;-0.0425;0.0979;Não ❌;Mann-Whitney;;
Energia;margem_liquida;0.1115;0.1067;0.0048;0.6471;Não ❌;Mann-Whitney;;
Energia;margem_bruta;0.2314;0.2727;-0.0413;0.5641;Não ❌;Mann-Whitney;;
Energia;margem_ebitda;0.1781;0.1945;-0.0164;0.131;Não ❌;Mann-Whitney;;
Energia;alavancagem;3.2903;3.9223;-0.632;0.1652;Não ❌;Mann-Whitney;;
Energia;cobertura_juros;1.5363;1.9029;-0.3666;0.4179;Não ❌;Mann-Whitney;;
Petróleo;roe;0.0568;0.0933;-0.0364;0.641;Não ❌;Mann-Whitney;;
Petróleo;margem_liquida;0.0499;0.2378;-0.1879;0.0599;Não ❌;Mann-Whitney;;
Petróleo;margem_bruta;0.38;0.4248;-0.0448;0.6409;Não ❌;Mann-Whitney;;
Petróleo;margem_ebitda;0.3627;0.5929;-0.2302;0.0065;Sim ✅;Mann-Whitney;;
Petróleo;alavancagem;2.726;0.6178;2.1082;0.0012;Sim ✅;Mann-Whitney;;
Petróleo;cobertura_juros;1.5312;1.2294;0.3017;0.9104;Não ❌;Mann-Whitney;;
Financeiro;roe;;;;0.9219;Não ❌;Wilcoxon;10.0;-0.0019
Financeiro;margem_liquida;;;;0.002;Sim ✅;Wilcoxon;10.0;-0.0708
Financeiro;nim;;;;0.002;Sim ✅;Wilcoxon;10.0;-0.0096
Financeiro;indice_eficiencia;;;;0.002;Sim ✅;Wilcoxon;10.0;0.0726
Financeiro;alavancagem;;;;0.002;Sim ✅;Wilcoxon;10.0;5.4426
Financeiro;pdd_ratio;;;;0.1602;Não ❌;Wilcoxon;10.0;-0.0251
Energia;roe;;;;0.084;Não ❌;Wilcoxon;10.0;-0.0233
Energia;margem_liquida;;;;0.2754;Não ❌;Wilcoxon;10.0;0.0129
Energia;margem_bruta;;;;0.625;Não ❌;Wilcoxon;10.0;-0.0007
Energia;margem_ebitda;;;;0.6953;Não ❌;Wilcoxon;10.0;0.0054
Energia;alavancagem;;;;0.084;Não ❌;Wilcoxon;10.0;-1.0344
Energia;cobertura_juros;;;;0.9219;Não ❌;Wilcoxon;10.0;-0.1231
Petróleo;roe;;;;0.625;Não ❌;Wilcoxon;10.0;0.0509
Petróleo;margem_liquida;;;;0.4922;Não ❌;Wilcoxon;10.0;-0.031
Petróleo;margem_bruta;;;;0.3223;Não ❌;Wilcoxon;10.0;0.0213
Petróleo;margem_ebitda;;;;0.0098;Sim ✅;Wilcoxon;10.0;-0.2394
Petróleo;alavancagem;;;;0.0098;Sim ✅;Wilcoxon;10.0;2.0069
Petróleo;cobertura_juros;;;;0.4316;Não ❌;Wilcoxon;10.0;1.281
