ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;-0.05;0.13;0.07;-2.67;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;-0.1;0.12;0.09;-2.38;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.46;0.35;0.21;0.51;Acima da média;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;-0.01;0.27;0.24;-1.16;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;;4.44;2.03;;Dado indisponível;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;-0.43;1.9;1.47;-1.58;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.28;0.13;0.07;2.14;Acima da média;0;
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.16;0.12;0.09;0.49;Na média;0;
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.34;0.35;0.21;-0.04;Na média;0;
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.29;0.27;0.24;0.08;Na média;0;
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;2.26;4.44;2.03;-1.08;Acima da média;0;
2014;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;3.29;1.9;1.47;0.95;Acima da média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.09;0.13;0.07;-0.62;Abaixo da média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.09;0.12;0.09;-0.32;Na média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.2;0.35;0.21;-0.73;Abaixo da média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.12;0.27;0.24;-0.62;Abaixo da média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;3.11;4.44;2.03;-0.66;Acima da média;0;
2014;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;3.13;1.9;1.47;0.84;Acima da média;0;
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;-0.35;0.11;0.08;-5.94;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;-0.44;0.1;0.08;-6.59;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.48;0.33;0.24;0.63;Acima da média;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;-0.33;0.25;0.26;-2.26;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;;5.21;2.82;;Dado indisponível;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;-0.64;1.33;1.17;-1.68;Alerta;1;Lei 12.783/2013 - Renovação tarifária
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.19;0.11;0.08;0.98;Acima da média;0;
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.12;0.1;0.08;0.25;Na média;0;
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.26;0.33;0.24;-0.3;Na média;0;
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.19;0.25;0.26;-0.23;Na média;0;
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;3.48;5.21;2.82;-0.62;Acima da média;0;
2015;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;1.86;1.33;1.17;0.45;Na média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.08;0.11;0.08;-0.42;Na média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.08;0.1;0.08;-0.18;Na média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.2;0.33;0.24;-0.55;Abaixo da média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.13;0.25;0.26;-0.48;Na média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;3.29;5.21;2.82;-0.68;Acima da média;0;
2015;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;1.74;1.33;1.17;0.35;Na média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;0.08;0.1;0.08;-0.29;Na média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;0.06;0.1;0.1;-0.47;Na média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.73;0.35;0.23;1.67;Acima da média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.33;0.28;0.27;0.16;Na média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;2.25;4.16;2.24;-0.85;Acima da média;0;
2016;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;1.05;1.5;1.1;-0.41;Na média;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.03;0.1;0.08;-0.95;Abaixo da média;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.02;0.1;0.1;-0.87;Abaixo da média;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.23;0.35;0.23;-0.5;Na média;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.1;0.28;0.27;-0.68;Abaixo da média;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;7.86;4.16;2.24;1.65;Alerta;0;
2016;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;0.73;1.5;1.1;-0.7;Abaixo da média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.06;0.1;0.08;-0.47;Na média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.07;0.1;0.1;-0.3;Na média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.22;0.35;0.23;-0.55;Abaixo da média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.16;0.28;0.27;-0.46;Na média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;3.84;4.16;2.24;-0.14;Na média;0;
2016;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;1.4;1.5;1.1;-0.09;Na média;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;-0.04;0.13;0.09;-1.79;Alerta;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;-0.05;0.12;0.11;-1.53;Alerta;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.59;0.33;0.23;1.18;Acima da média;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.18;0.26;0.24;-0.35;Na média;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;6.61;4.16;2.24;1.09;Alerta;0;
2017;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;0.48;2.26;2.12;-0.84;Abaixo da média;0;
2017;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.07;0.13;0.09;-0.62;Abaixo da média;0;
2017;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.05;0.12;0.11;-0.68;Abaixo da média;0;
2017;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.19;0.33;0.23;-0.58;Abaixo da média;0;
2017;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.12;0.26;0.24;-0.58;Abaixo da média;0;
