ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2014;Financeiro;BCO BRASIL S.A.;roe;0.14;0.13;0.07;0.13;Na média;0;
2014;Financeiro;BCO BRASIL S.A.;margem_liquida;0.09;0.13;0.07;-0.7;Abaixo da média;0;
2014;Financeiro;BCO BRASIL S.A.;nim;0.02;0.04;0.03;-0.63;Abaixo da média;0;
2014;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.49;0.5;0.13;-0.03;Na média;0;
2014;Financeiro;BCO BRASIL S.A.;alavancagem;13.96;8.15;2.06;2.82;Alerta;0;
2014;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.11;0.11;0.07;-0.09;Na média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.14;0.13;0.07;0.2;Na média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.09;0.13;0.07;-0.63;Abaixo da média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.11;0.04;0.03;2.28;Acima da média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.57;0.5;0.13;0.56;Abaixo da média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;8.29;8.15;2.06;0.07;Na média;0;
2014;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.0;0.11;0.07;-1.72;Acima da média;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.13;0.13;0.07;0.05;Na média;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.08;0.13;0.07;-0.76;Abaixo da média;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.04;0.04;0.03;0.07;Na média;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.46;0.5;0.13;-0.32;Na média;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;13.22;8.15;2.06;2.46;Alerta;0;
2014;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.11;0.07;-1.72;Acima da média;0;
2015;Financeiro;BCO BRASIL S.A.;roe;0.16;0.13;0.08;0.44;Na média;0;
2015;Financeiro;BCO BRASIL S.A.;margem_liquida;0.08;0.13;0.07;-0.7;Abaixo da média;0;
2015;Financeiro;BCO BRASIL S.A.;nim;0.02;0.04;0.04;-0.74;Abaixo da média;0;
2015;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.52;0.82;0.82;-0.36;Na média;0;
2015;Financeiro;BCO BRASIL S.A.;alavancagem;15.11;8.67;2.13;3.02;Alerta;0;
2015;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.13;0.13;0.06;-0.12;Na média;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.09;0.13;0.08;-0.49;Na média;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.05;0.13;0.07;-1.11;Alerta;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.09;0.04;0.04;1.28;Acima da média;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.69;0.82;0.82;-0.15;Na média;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;8.2;8.67;2.13;-0.22;Na média;0;
2015;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.16;0.13;0.06;0.43;Na média;0;
2015;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.13;0.13;0.08;0.06;Na média;0;
2015;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.07;0.13;0.07;-0.8;Abaixo da média;0;
2015;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.04;0.04;0.04;-0.04;Na média;0;
